LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
55m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-mphsd
55m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-f8jbt
55m         Normal    SuccessfulDelete       replicaset/tcc-api-bluegreen-787bdcb856          Deleted pod: tcc-api-bluegreen-787bdcb856-6hbwq
55m         Normal    Killing                pod/tcc-api-bluegreen-787bdcb856-6hbwq           Stopping container tcc-api
51m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 7
48m         Normal    RolloutUpdated         rollout/tcc-api-canary                           Rollout updated to revision 12
48m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-787bdcb856             Created pod: tcc-api-canary-787bdcb856-v9s66
48m         Normal    Pulled                 pod/tcc-api-canary-787bdcb856-v9s66              Container image "gabrieldores/tcc-api:v1" already present on machine
48m         Normal    Started                pod/tcc-api-canary-787bdcb856-v9s66              Started container tcc-api
48m         Normal    Created                pod/tcc-api-canary-787bdcb856-v9s66              Created container: tcc-api
48m         Normal    SuccessfulCreate       replicaset/tcc-api-canary-86c5dc54d7             Created pod: tcc-api-canary-86c5dc54d7-qpjhd
48m         Normal    Killing                pod/tcc-api-canary-86c5dc54d7-74d5r              Stopping container tcc-api
48m         Normal    Started                pod/tcc-api-canary-86c5dc54d7-qpjhd              Started container tcc-api
48m         Normal    Created                pod/tcc-api-canary-86c5dc54d7-qpjhd              Created container: tcc-api
48m         Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-qpjhd              Container image "gabrieldores/tcc-api:v1" already present on machine
45m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'latency-p95' Completed. Result: Successful
45m         Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'success-rate' Completed. Result: Successful
45m         Warning   MetricFailed           analysisrun/tcc-api-canary-787bdcb856-12-2       Metric 'error-rate' Completed. Result: Failed
45m         Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-787bdcb856-12-2       Analysis Completed. Result: Failed
45m         Warning   AnalysisRunFailed      rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-12-2' Status New: 'Failed' Previous: 'Running'
45m         Warning   RolloutAborted         rollout/tcc-api-canary                           Rollout aborted update to revision 12: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
45m         Normal    ScalingReplicaSet      rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 12) from 1 to 0
45m         Normal    SuccessfulDelete       replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-v9s66
45m         Normal    Killing                pod/tcc-api-canary-787bdcb856-v9s66              Stopping container tcc-api
38m         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                        Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 8) from 0 to 4
38m         Normal    RolloutNotCompleted    rollout/tcc-api-bluegreen                        Rollout not completed, started update to revision 8 (787bdcb856)
38m         Normal    SwitchService          rollout/tcc-api-bluegreen                        Switched selector for service 'tcc-api-preview' from '86c5dc54d7' to '787bdcb856'
38m         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                        Rollout updated to revision 8
38m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-5f5bc
38m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-d82k8
38m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-njxbw
38m         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-hln8h
38m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-d82k8           Container image "gabrieldores/tcc-api:v1" already present on machine
38m         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-5f5bc           Container image "gabrieldores/tcc-api:v1" already present on machine
38m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-hln8h           Started container tcc-api
38m         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-5f5bc           Started container tcc-api
