LAST SEEN   TYPE      REASON                    OBJECT                                           MESSAGE
28m         Normal    Pulled                    pod/tcc-api-bluegreen-86c5dc54d7-ghhx6           Container image "gabrieldores/tcc-api:v1" already present on machine
28m         Normal    Started                   pod/tcc-api-bluegreen-86c5dc54d7-ghhx6           Started container tcc-api
27m         Normal    AnalysisRunRunning        rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-10-2' Status New: 'Running' Previous: ''
27m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-10-2       Metric 'latency-p95' Completed. Result: Successful
27m         Normal    MetricInconclusive        analysisrun/tcc-api-canary-787bdcb856-10-2       Metric 'error-rate' Completed. Result: Inconclusive
27m         Normal    MetricSuccessful          analysisrun/tcc-api-canary-787bdcb856-10-2       Metric 'success-rate' Completed. Result: Successful
27m         Normal    AnalysisRunInconclusive   analysisrun/tcc-api-canary-787bdcb856-10-2       Analysis Completed. Result: Inconclusive
27m         Normal    AnalysisRunInconclusive   rollout/tcc-api-canary                           Step Analysis Run 'tcc-api-canary-787bdcb856-10-2' Status New: 'Inconclusive' Previous: 'Running'
27m         Normal    RolloutPaused             rollout/tcc-api-canary                           Rollout is paused (InconclusiveAnalysisRun)
20m         Normal    RolloutNotCompleted       rollout/tcc-api-bluegreen                        Rollout not completed, started update to revision 6 (787bdcb856)
20m         Normal    NewReplicaSetCreated      rollout/tcc-api-canary                           Created ReplicaSet tcc-api-canary-b669fbb57 (revision 11)
20m         Normal    RolloutUpdated            rollout/tcc-api-bluegreen                        Rollout updated to revision 6
20m         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                        Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 6) from 0 to 4
20m         Normal    RolloutUpdated            rollout/tcc-api-canary                           Rollout updated to revision 11
20m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-r927n
20m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-f8jbt
20m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-mphsd
20m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856          Created pod: tcc-api-bluegreen-787bdcb856-6hbwq
20m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                           Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 10) from 1 to 0
20m         Normal    RolloutResumed            rollout/tcc-api-canary                           Rollout is resumed
20m         Normal    SuccessfulDelete          replicaset/tcc-api-canary-787bdcb856             Deleted pod: tcc-api-canary-787bdcb856-26ngf
20m         Normal    Killing                   pod/tcc-api-canary-787bdcb856-26ngf              Stopping container tcc-api
20m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-f8jbt           Container image "gabrieldores/tcc-api:v1" already present on machine
