LAST SEEN   TYPE      REASON                 OBJECT                                            MESSAGE
7m1s        Normal    Created                pod/tcc-api-canary-86c5dc54d7-7qfmq               Created container: tcc-api
7m1s        Normal    Pulled                 pod/tcc-api-canary-86c5dc54d7-7qfmq               Container image "gabrieldores/tcc-api:v1" already present on machine
7m1s        Normal    Started                pod/tcc-api-canary-86c5dc54d7-7qfmq               Started container tcc-api
6m45s       Normal    RolloutResumed         rollout/tcc-api-canary                            Rollout is resumed
6m45s       Normal    RolloutStepCompleted   rollout/tcc-api-canary                            Rollout step 2/6 completed (pause: 30s)
6m43s       Normal    AnalysisRunRunning     rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-14-2' Status New: 'Running' Previous: ''
4m44s       Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-14-2        Metric 'success-rate' Completed. Result: Successful
4m44s       Normal    MetricSuccessful       analysisrun/tcc-api-canary-787bdcb856-14-2        Metric 'latency-p95' Completed. Result: Successful
4m44s       Warning   MetricFailed           analysisrun/tcc-api-canary-787bdcb856-14-2        Metric 'error-rate' Completed. Result: Failed
4m44s       Warning   AnalysisRunFailed      analysisrun/tcc-api-canary-787bdcb856-14-2        Analysis Completed. Result: Failed
4m42s       Warning   RolloutAborted         rollout/tcc-api-canary                            Rollout aborted update to revision 14: Step-based analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
4m42s       Warning   AnalysisRunFailed      rollout/tcc-api-canary                            Step Analysis Run 'tcc-api-canary-787bdcb856-14-2' Status New: 'Failed' Previous: 'Running'
4m41s       Normal    Killing                pod/tcc-api-canary-787bdcb856-7cdhz               Stopping container tcc-api
4m41s       Normal    SuccessfulDelete       replicaset/tcc-api-canary-787bdcb856              Deleted pod: tcc-api-canary-787bdcb856-7cdhz
4m41s       Normal    ScalingReplicaSet      rollout/tcc-api-canary                            Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 14) from 1 to 0
60s         Normal    RolloutUpdated         rollout/tcc-api-bluegreen                         Rollout updated to revision 10
60s         Normal    ScalingReplicaSet      rollout/tcc-api-bluegreen                         Scaled up ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 10) from 0 to 4
60s         Normal    RolloutNotCompleted    rollout/tcc-api-bluegreen                         Rollout not completed, started update to revision 10 (787bdcb856)
60s         Normal    SwitchService          rollout/tcc-api-bluegreen                         Switched selector for service 'tcc-api-preview' from '86c5dc54d7' to '787bdcb856'
59s         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-qr9pq
59s         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-mthqq
59s         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-ctqsc
59s         Normal    SuccessfulCreate       replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-rqlfc
58s         Normal    Created                pod/tcc-api-bluegreen-787bdcb856-rqlfc            Created container: tcc-api
58s         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-mthqq            Container image "gabrieldores/tcc-api:v1" already present on machine
58s         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-ctqsc            Container image "gabrieldores/tcc-api:v1" already present on machine
58s         Normal    Started                pod/tcc-api-bluegreen-787bdcb856-rqlfc            Started container tcc-api
58s         Normal    Pulled                 pod/tcc-api-bluegreen-787bdcb856-rqlfc            Container image "gabrieldores/tcc-api:v1" already present on machine
