LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
18m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-bksz2
18m         Normal    ScalingReplicaSet         rollout/tcc-api-canary                            Scaled down ReplicaSet tcc-api-canary-787bdcb856 (revision 16) from 1 to 0
18m         Normal    Killing                   pod/tcc-api-canary-787bdcb856-b2zkj               Stopping container tcc-api
18m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-kc8cp
18m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-jgm78
18m         Normal    SuccessfulCreate          replicaset/tcc-api-bluegreen-787bdcb856           Created pod: tcc-api-bluegreen-787bdcb856-8pw98
18m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-kc8cp            Container image "gabrieldores/tcc-api:v1" already present on machine
18m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-kc8cp            Started container tcc-api
18m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-jgm78            Started container tcc-api
18m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-jgm78            Created container: tcc-api
18m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-8pw98            Started container tcc-api
18m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-8pw98            Container image "gabrieldores/tcc-api:v1" already present on machine
18m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-jgm78            Container image "gabrieldores/tcc-api:v1" already present on machine
18m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-bksz2            Created container: tcc-api
18m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-kc8cp            Created container: tcc-api
18m         Normal    Started                   pod/tcc-api-bluegreen-787bdcb856-bksz2            Started container tcc-api
18m         Normal    Pulled                    pod/tcc-api-bluegreen-787bdcb856-bksz2            Container image "gabrieldores/tcc-api:v1" already present on machine
18m         Normal    Created                   pod/tcc-api-bluegreen-787bdcb856-8pw98            Created container: tcc-api
17m         Normal    AnalysisRunRunning        rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-12-pre' Status New: 'Running' Previous: ''
17m         Normal    SuccessfulCreate          replicaset/tcc-api-canary-86c5dc54d7              Created pod: tcc-api-canary-86c5dc54d7-r7rdd
17m         Normal    Killing                   pod/tcc-api-canary-86c5dc54d7-bpr5p               Stopping container tcc-api
17m         Normal    Pulled                    pod/tcc-api-canary-86c5dc54d7-r7rdd               Container image "gabrieldores/tcc-api:v1" already present on machine
17m         Normal    Created                   pod/tcc-api-canary-86c5dc54d7-r7rdd               Created container: tcc-api
17m         Normal    Started                   pod/tcc-api-canary-86c5dc54d7-r7rdd               Started container tcc-api
15m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Metric 'latency-p95' Completed. Result: Successful
15m         Normal    MetricSuccessful          analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Metric 'success-rate' Completed. Result: Successful
15m         Warning   AnalysisRunFailed         analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Analysis Completed. Result: Failed
15m         Warning   MetricFailed              analysisrun/tcc-api-bluegreen-787bdcb856-12-pre   Metric 'error-rate' Completed. Result: Failed
15m         Warning   AnalysisRunFailed         rollout/tcc-api-bluegreen                         PrePromotion Analysis Run 'tcc-api-bluegreen-787bdcb856-12-pre' Status New: 'Failed' Previous: 'Running'
15m         Warning   RolloutAborted            rollout/tcc-api-bluegreen                         Rollout aborted update to revision 12: Blue/green pre-promotion analysis phase error/failed: Metric "error-rate" assessed Failed due to failed (3) > failureLimit (2)
15m         Normal    ScalingReplicaSet         rollout/tcc-api-bluegreen                         Scaled down ReplicaSet tcc-api-bluegreen-787bdcb856 (revision 12) from 4 to 0
15m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-kc8cp
15m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-jgm78
15m         Normal    Killing                   pod/tcc-api-bluegreen-787bdcb856-bksz2            Stopping container tcc-api
15m         Normal    SuccessfulDelete          replicaset/tcc-api-bluegreen-787bdcb856           Deleted pod: tcc-api-bluegreen-787bdcb856-8pw98
